City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,59.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1,Nouadhibou,MR,71.58,haze,20.931,-17.0347,El Medina
3,Rawson,AR,70.95,clear sky,-43.3002,-65.1023,Hosteria Sampedro
4,Morant Bay,JM,74.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
6,Half Moon Bay,US,52.02,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
7,Saryagash,KZ,53.56,clear sky,41.4511,69.1701,fatyCentre Paradise
8,Hastings,GB,59.2,overcast clouds,50.8552,0.5729,Zanzibar Hotel
10,Punta Arenas,CL,46.51,light intensity shower rain,-53.15,-70.9167,Hotel Hain
13,Ushuaia,AR,40.66,moderate rain,-54.8,-68.3,Albatross Hotel
17,Lagoa,PT,59.04,few clouds,39.05,-27.9833,Casa Das Faias
18,Lata,PT,65.35,clear sky,40.1629,-8.3327,Casa Maquia
19,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
25,Victoria,HK,61.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
26,Ribeira Grande,PT,63.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
27,Port Alfred,ZA,74.79,moderate rain,-33.5906,26.891,The Halyards Hotel
28,Mataura,NZ,59.49,light rain,-46.1927,168.8643,Ellie's Villa
35,San Patricio,US,60.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
40,Hilo,US,68.25,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,San Cristobal,VE,66.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
50,Bilma,NE,69.31,clear sky,18.6853,12.9164,Expeditions Ténére voyages
52,Esperance,AU,62.44,scattered clouds,-33.8667,121.9,Hospitality Esperance
57,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
69,Muros,ES,62.24,clear sky,42.7762,-9.0603,Apartment Av. Castelao
72,Anqing,CN,41.97,light rain,30.5092,117.0506,Hongtian Hotel
74,Airai,TL,60.98,broken clouds,-8.9266,125.4092,
76,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Guerrero Negro,MX,57.47,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
79,Port Lincoln,AU,60.78,clear sky,-34.7333,135.8667,Port Lincoln Hotel
82,Port Pirie,AU,66.29,clear sky,-33.1833,138.0167,John Pirie Motor Inn
83,Wanaka,NZ,60.28,moderate rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
84,Port Augusta,AU,66.34,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
87,Mar Del Plata,AR,68.88,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Olivenza,ES,61.32,clear sky,38.6832,-7.103,Hotel Heredero
92,Zarkos,GR,40.37,overcast clouds,39.6167,22.1333,
93,Stornoway,GB,46.92,scattered clouds,58.2093,-6.3865,Caladh Inn
96,Codrington,AU,57.67,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
99,Dunedin,NZ,61.12,moderate rain,-45.8742,170.5036,Scenic Hotel Southern Cross
100,Castro,BR,72.43,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
102,New Norfolk,AU,56.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
103,Shingu,JP,44.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
