,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,59.81,96,60,6.49,broken clouds
1,Nouadhibou,MR,20.931,-17.0347,71.58,64,98,8.05,haze
2,Jamestown,US,42.097,-79.2353,22.71,46,100,5.99,overcast clouds
3,Rawson,AR,-43.3002,-65.1023,70.95,44,6,16.46,clear sky
4,Morant Bay,JM,17.8815,-76.4093,74.82,80,27,9.4,scattered clouds
5,Avarua,CK,-21.2078,-159.775,78.85,83,20,9.22,few clouds
6,Half Moon Bay,US,37.4636,-122.4286,52.02,85,20,1.01,mist
7,Saryagash,KZ,41.4511,69.1701,53.56,40,0,6.98,clear sky
8,Hastings,GB,50.8552,0.5729,59.2,82,100,21.97,overcast clouds
9,Longyearbyen,SJ,78.2186,15.6401,19.24,63,75,3.44,broken clouds
10,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,29.93,light intensity shower rain
11,Nikolskoye,RU,59.7035,30.7861,26.49,97,99,3.15,snow
12,Sitka,US,57.0531,-135.33,31.89,86,100,9.22,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,40.66,87,100,32.21,moderate rain
14,Rikitea,PF,-23.1203,-134.9692,77.83,68,87,7.58,overcast clouds
15,Vao,NC,-22.6667,167.4833,76.19,79,100,10.2,overcast clouds
16,North Bend,US,43.4065,-124.2243,36.95,80,100,6.91,mist
17,Lagoa,PT,39.05,-27.9833,59.04,79,11,17.13,few clouds
18,Lata,PT,40.1629,-8.3327,65.35,41,0,10.56,clear sky
19,Busselton,AU,-33.65,115.3333,67.05,42,0,18.45,clear sky
20,Hambantota,LK,6.1241,81.1185,84.54,79,40,4.61,scattered clouds
21,Atuona,PF,-9.8,-139.0333,78.19,76,28,23.53,scattered clouds
22,Lorengau,PG,-2.0226,147.2712,78.6,87,100,16.35,overcast clouds
23,Hammerfest,NO,70.6634,23.6821,26.33,73,0,4.61,clear sky
24,Severo-Kurilsk,RU,50.6789,156.125,26.29,78,74,4.88,broken clouds
25,Victoria,HK,22.2855,114.1577,61.32,84,100,4.0,overcast clouds
26,Ribeira Grande,PT,38.5167,-28.7,63.0,67,40,13.8,scattered clouds
27,Port Alfred,ZA,-33.5906,26.891,74.79,91,100,4.97,moderate rain
28,Mataura,NZ,-46.1927,168.8643,59.49,98,15,3.38,light rain
29,Thompson,CA,55.7435,-97.8558,-12.84,70,75,12.66,broken clouds
30,Faanui,PF,-16.4833,-151.75,80.85,75,6,18.68,clear sky
31,Pemangkat,ID,1.1667,108.9667,78.76,86,66,9.35,broken clouds
32,Labuhan,ID,-6.8844,112.2051,78.49,88,100,6.17,overcast clouds
