City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kupang,ID,2022-01-30 16:05:19,-10.1667,123.5833,79.99,85,100,13.51
1,Abong Mbang,CM,2022-01-30 16:10:16,3.9833,13.1833,92.08,14,87,3.65
2,Waddan,LY,2022-01-30 16:10:17,29.1614,16.139,54.59,43,29,13.8
3,Busselton,AU,2022-01-30 16:11:03,-33.65,115.3333,66.09,76,0,18.14
4,Puerto Carreno,CO,2022-01-30 16:10:04,6.189,-67.4859,91.36,31,71,13.62
5,Karlshamn,SE,2022-01-30 16:11:04,56.1706,14.8619,41.49,51,6,21.47
6,Tessalit,ML,2022-01-30 16:10:18,20.1986,1.0114,84.2,10,4,13.91
7,Swan River,CA,2022-01-30 16:11:05,52.1058,-101.2676,18.66,91,100,4.38
8,Georgetown,MY,2022-01-30 16:08:59,5.4112,100.3354,84.13,80,20,0.0
9,Kapaa,US,2022-01-30 16:10:19,22.0752,-159.319,71.92,78,20,14.97
10,Bredasdorp,ZA,2022-01-30 16:10:20,-34.5322,20.0403,80.28,64,8,17.11
11,Yellowknife,CA,2022-01-30 16:08:40,62.456,-114.3525,-7.44,87,100,4.99
12,Ushuaia,AR,2022-01-30 16:05:39,-54.8,-68.3,47.86,66,75,23.02
13,Bambous Virieux,MU,2022-01-30 16:08:39,-20.3428,57.7575,81.21,78,48,18.01
14,Hobart,AU,2022-01-30 16:10:21,-42.8794,147.3294,57.11,88,2,0.0
15,Torbat-E Jam,IR,2022-01-30 16:10:21,35.244,60.6225,40.8,68,4,5.3
16,Passo De Camaragibe,BR,2022-01-30 16:09:17,-9.2368,-35.4901,89.15,54,80,10.63
17,Saldanha,ZA,2022-01-30 16:10:22,-33.0117,17.9442,69.64,77,42,18.84
18,Rikitea,PF,2022-01-30 16:09:59,-23.1203,-134.9692,76.15,60,74,4.81
19,Upernavik,GL,2022-01-30 16:10:09,72.7868,-56.1549,-4.2,73,100,11.52
20,Tuatapere,NZ,2022-01-30 16:10:23,-46.1333,167.6833,59.83,95,66,1.41
21,Hermanus,ZA,2022-01-30 16:07:04,-34.4187,19.2345,92.89,60,32,20.8
22,Sao Francisco De Paula,BR,2022-01-30 16:10:23,-29.4481,-50.5836,73.27,59,79,2.57
23,Ribeira Grande,PT,2022-01-30 16:08:16,38.5167,-28.7,61.2,59,20,20.71
24,La Ronge,CA,2022-01-30 16:09:25,55.1001,-105.2842,14.56,96,100,6.62
25,Tuktoyaktuk,CA,2022-01-30 16:10:24,69.4541,-133.0374,-4.18,96,100,17.65
26,Namatanai,PG,2022-01-30 16:10:24,-3.6667,152.4333,78.24,85,92,3.36
27,Punta Arenas,CL,2022-01-30 16:06:13,-53.15,-70.9167,53.71,50,75,28.77
28,Barrow,US,2022-01-30 16:10:25,71.2906,-156.7887,-9.38,77,75,10.36
29,San Patricio,US,2022-01-30 16:10:25,28.017,-97.5169,63.01,56,0,6.62
30,Urucurituba,BR,2022-01-30 16:10:26,-2.6833,-57.6667,76.01,92,100,3.69
31,Bousso,TD,2022-01-30 16:10:26,10.4795,16.7117,87.66,10,36,10.02
32,Qaanaaq,GL,2022-01-30 16:10:27,77.484,-69.3632,-7.1,72,100,8.84
33,Port Elizabeth,ZA,2022-01-30 16:10:27,-33.918,25.5701,81.1,77,78,19.33
34,New Norfolk,AU,2022-01-30 16:10:27,-42.7826,147.0587,56.75,75,2,1.95
35,Port Blair,IN,2022-01-30 16:10:28,11.6667,92.75,74.32,70,47,8.03
36,Trelew,AR,2022-01-30 16:10:28,-43.249,-65.3051,68.97,16,87,26.87
37,Butaritari,KI,2022-01-30 16:08:58,3.0707,172.7902,81.72,78,70,21.18
38,Dingle,PH,2022-01-30 16:10:29,10.9995,122.6711,76.6,90,88,1.74
39,Muros,ES,2022-01-30 16:10:29,42.7762,-9.0603,64.9,44,0,4.21
40,Dikson,RU,2022-01-30 16:10:30,73.5069,80.5464,1.72,92,100,21.23
41,Nikolskoye,RU,2022-01-30 16:10:30,59.7035,30.7861,28.4,94,100,8.48
42,Griffith,US,2022-01-30 16:10:31,41.5284,-87.4237,25.05,73,0,1.01
43,Kruisfontein,ZA,2022-01-30 16:10:31,-34.0033,24.7314,78.89,65,73,20.33
44,Nuuk,GL,2022-01-30 16:06:46,64.1835,-51.7216,14.61,85,100,16.11
45,Albany,US,2022-01-30 16:08:58,42.6001,-73.9662,17.94,40,32,10.0
46,San Miguel,SV,2022-01-30 16:12:12,13.4833,-88.1833,85.87,38,3,7.23
47,San Cristobal,VE,2022-01-30 16:12:12,7.7669,-72.225,68.18,41,97,2.51
48,Marawi,PH,2022-01-30 16:08:24,7.9986,124.2928,67.64,93,80,1.45
49,Port Alfred,ZA,2022-01-30 16:08:01,-33.5906,26.891,77.81,78,91,20.87
50,Lazaro Cardenas,MX,2022-01-30 16:12:13,17.9583,-102.2,80.37,55,4,0.92
51,Shingu,JP,2022-01-30 16:12:14,33.7333,135.9833,38.55,74,51,7.78
52,Sungairaya,ID,2022-01-30 16:12:14,0.7,108.9,77.54,85,100,5.64
53,Thompson,CA,2022-01-30 16:12:15,55.7435,-97.8558,-0.06,95,100,4.76
54,Kavaratti,IN,2022-01-30 16:12:15,10.5669,72.642,81.66,69,54,7.07
55,Kodiak,US,2022-01-30 16:12:15,57.79,-152.4072,24.31,68,20,13.8
56,Ust-Kuyga,RU,2022-01-30 16:12:16,70.0167,135.6,-30.32,99,97,7.02
57,Namibe,AO,2022-01-30 16:12:16,-15.1961,12.1522,74.34,71,98,11.16
58,Hambantota,LK,2022-01-30 16:12:17,6.1241,81.1185,78.48,84,19,11.99
59,Puerto Ayora,EC,2022-01-30 16:10:53,-0.7393,-90.3518,82.36,73,100,8.88
60,Vaini,TO,2022-01-30 16:12:17,-21.2,-175.2,80.49,78,100,12.26
61,Port Lincoln,AU,2022-01-30 16:12:18,-34.7333,135.8667,66.38,84,0,11.14
62,Coihaique,CL,2022-01-30 16:08:02,-45.5752,-72.0662,57.81,47,75,9.22
63,Yarim,YE,2022-01-30 16:12:18,14.298,44.3779,56.12,62,45,1.52
64,Mehamn,NO,2022-01-30 16:12:19,71.0357,27.8492,30.38,69,75,19.57
65,Atar,MR,2022-01-30 16:12:20,20.5169,-13.0499,92.41,7,100,12.46
66,Saint-Philippe,RE,2022-01-30 16:12:20,-21.3585,55.7679,80.19,77,71,13.22
67,San Jeronimo,PE,2022-01-30 16:12:20,-11.9472,-75.2829,56.93,55,100,1.5
68,Vila Velha,BR,2022-01-30 16:12:21,-20.3297,-40.2925,91.35,74,40,8.99
69,Tay Ninh,VN,2022-01-30 16:12:21,11.3,106.1,78.73,72,92,10.58
70,Yavaros,MX,2022-01-30 16:12:22,26.7,-109.5167,64.51,52,39,3.09
71,Staryy Nadym,RU,2022-01-30 16:12:22,65.6118,72.6842,-5.87,95,77,9.08
72,Tres Passos,BR,2022-01-30 16:12:22,-27.4556,-53.9319,87.13,37,15,6.89
73,Draper,US,2022-01-30 16:12:23,40.5247,-111.8638,39.29,66,0,3.44
74,Tahe,CN,2022-01-30 16:12:23,52.3333,124.7333,-6.52,92,48,4.52
75,Mount Gambier,AU,2022-01-30 16:10:16,-37.8333,140.7667,62.51,100,100,5.75
76,Rudbar,AF,2022-01-30 16:12:23,30.15,62.6,59.18,31,5,7.94
77,Atuona,PF,2022-01-30 16:12:24,-9.8,-139.0333,77.16,78,6,10.8
